,PF1,PF2,PF3,PF4,PF5
1,4.726964046,0.521509226,0.839178134,0.324614659,0.071364035
2,0.749935705,0.171499579,-0.469841714,0.01300365,0.005172453
3,-5.012558793,0.128711814,-0.645554756,0.092155464,-0.048235851
4,-1.624152513,-0.352902715,0.140723049,0.021177468,-8.05E-05
5,0.028677997,1.081839378,-0.769862936,-0.067498092,-0.033162851
6,-4.516016176,-0.120833676,-0.123835463,-0.044080202,0.013230447
7,-0.642671895,-0.039333263,0.029582514,0.00338627,0.054965019
8,-0.719032945,-0.302876835,0.023549442,0.080327082,0.022631758
9,-1.483543934,0.318372312,-0.307995603,-0.201662206,-0.034848861
10,-12.03785726,-0.493328235,-0.385641755,0.08969559,-0.053458336
11,-1.514362078,-0.802890976,0.035332362,-0.253764819,-0.024065025
12,-1.901795577,-0.59848552,-0.525709173,-0.273345477,-0.059293207
13,1.645247636,-0.321162907,0.39136261,0.25790216,-0.006385547
14,-4.22418497,-0.849888724,-0.378533315,0.326644217,0.013173404
15,1.308113871,-0.229472616,0.047986593,-0.050582117,-0.003396693
16,2.880735949,-0.596930325,-0.3279981,-0.194850678,0.051457357
17,0.529504867,0.244804359,-0.136158708,0.071825301,0.009827607
18,-2.796525185,0.670283166,-0.511637265,-0.862686695,-0.05497306
19,-1.538263658,-0.12810285,0.161522959,-0.020274673,0.010772703
20,-0.660907381,0.168653884,0.066625531,-0.283173987,-0.053784177
21,-1.783580959,-0.20322688,0.408714026,0.182716452,0.028424345
22,-0.258353965,0.555583246,-0.130734519,-0.140575248,0.002323488
23,-1.576290872,-0.399468909,0.616632902,-0.082347932,-0.021574461
24,-0.110001841,1.023175481,-0.594973562,-0.264915112,0.010564959
25,-0.801416953,0.602923116,-0.199754888,0.035739589,-0.132235499
26,-1.975380486,-0.191936827,1.332451541,-0.043558613,0.041700992
27,-1.762467881,0.131401503,-0.477489411,-0.427606821,-0.080915319
28,0.711938214,-1.045265014,0.351337409,-0.021116483,0.045797721
29,-0.857801118,0.338357034,0.416799584,0.276180212,0.045576021
30,1.915260628,-0.993356968,0.036892784,-0.015597257,-0.032238136
31,2.351593409,1.161703796,0.254559502,0.802596459,0.053380375
32,-1.321326061,-0.409300616,-0.005063855,-0.362505073,-0.033021601
33,-0.722215831,0.017951199,-0.182348508,0.029229201,0.004655617
34,-0.509754423,-0.102713646,-0.064782981,0.045245519,-0.007150326
35,-1.884957748,-0.426512365,-0.095543811,0.123484698,0.036597716
36,3.181186995,-0.074473278,0.02194077,-0.514659774,-0.056028204
37,0.026956239,-0.417489683,-0.675221393,-0.684362881,-0.104511289
38,-1.378597572,1.453482127,-0.345089832,-0.171409193,-0.044374599
39,1.40248667,0.134727485,-0.194862856,-0.065487902,0.016179561
40,-1.056415194,-0.365028703,-0.436297612,-0.380200187,-0.074260188
41,-1.192517012,-0.23378819,-0.019367259,0.017720105,-0.025770316
42,7.505693396,-0.739388378,1.002770495,0.228156746,0.02321859
43,-7.453286364,-0.599300086,-0.546037551,-0.052676575,0.009968011
44,3.06070233,-0.505038213,0.066434241,0.122018881,0.496349541
45,1.687183982,0.530903283,-0.683022791,-0.2666495,-0.043914913
46,2.181344689,-0.842848911,-0.49511956,0.114953909,0.068739464
47,-0.952648374,-0.366526551,0.194313761,0.183867493,0.021997448
48,1.612731602,0.75585336,0.297469669,-0.089054395,0.00522698
49,2.521075295,0.634680537,0.806556635,0.15479227,0.034134033
50,-1.011856354,-1.190617034,0.55509829,0.307386658,0.052323572
51,-2.0116978,0.784972231,-0.378798508,-0.863067629,0.265404701
52,-2.645143209,-0.102087196,0.132051734,-0.356230286,-0.016752273
53,-3.889137272,-0.749458703,-0.039688532,-0.446583429,-0.077777854
54,1.771702324,0.232959214,-0.517463419,-0.36089029,-0.077497337
55,0.319805613,-0.242501359,0.372356042,0.122392318,-0.01768732
56,-0.178413919,0.441312769,-0.625554546,-0.29148197,-0.127437947
57,-0.498793813,-0.559032483,-0.131621512,0.370508389,0.05376932
58,-3.092125411,-0.412348549,-0.173312909,-0.019448625,-0.032154129
59,-0.352518168,0.101406723,-0.111825772,-0.209131385,0.024203713
60,0.108375479,0.008411633,0.400911783,0.179804022,0.009750499
61,3.761676847,0.811821107,-0.73971053,-0.177228533,0.030313852
62,1.954404803,-0.441977191,0.409499699,0.204691393,0.088933727
63,-5.618457412,-0.475721635,-0.006775038,0.205665072,0.101782407
64,1.354765296,0.255643344,-0.665948197,-1.019577453,-0.058838288
65,-0.802602697,-0.361144679,0.378762171,0.756324947,0.043397451
66,-6.277261348,-0.157680368,0.533531709,0.162526227,-0.026985303
67,1.745428876,-0.171047232,0.710019353,0.258417419,0.070814416
68,1.035064763,-0.441226944,0.458632214,-0.054140986,0.030943857
69,-3.235989171,-0.042712505,-0.300225851,0.14053798,-0.031081531
70,-1.309140913,-0.659245132,0.148388961,-0.179546485,0.000394156
71,6.870705287,0.252123046,0.457662945,0.070792607,0.092925262
72,4.287051452,0.206010377,0.371325312,-0.408178668,-0.025494461
73,-4.034501013,-0.228741805,0.774798436,-0.335473746,0.000173173
74,1.998331538,-0.059789553,-0.044168128,-0.289140768,0.019100176
75,2.325988313,0.133321328,0.703063643,0.597035352,0.024821576
76,0.480106106,0.014276408,1.675282558,-2.078618376,-0.118726953
77,4.692624338,-0.300168875,0.494735706,0.068542566,0.010590062
78,-1.34908314,0.334669884,-0.555541038,-0.789959379,-0.095698016
79,3.499758281,-0.238493236,0.604112377,0.327299348,0.014960056
80,0.544978789,-0.77418846,-0.525719404,-0.447249947,-0.032711316
81,-1.071109609,0.200035133,0.170517671,0.484797768,0.119830057
82,-1.036637529,-0.318718572,0.302179451,0.283060985,0.025329918
83,-1.210034226,-0.236832077,0.362673566,0.103681039,0.044982366
84,-1.709413149,-0.091016659,0.044382586,0.209634646,0.116971771
85,1.436982978,-0.23122451,-0.30179447,-0.025526741,-0.015936979
86,-2.519804416,0.201326936,-0.411511111,-0.640498784,-0.137709739
87,0.125693117,0.521054148,-0.430278803,-0.57825005,-0.109819171
88,7.517273996,-0.860606523,0.923419639,0.455644027,0.034728719
89,-8.014009696,0.025385621,-0.349653479,0.053402496,0.026633437
90,-2.444987921,0.248941162,-0.334743837,0.057247396,0.03721051
91,-0.937370999,-0.65450277,0.203227303,-0.1403386,0.096583561
92,0.961615597,0.789891073,0.576543516,-0.741027991,-0.026149089
93,3.389722694,0.077962775,0.54247259,0.052433304,0.023142654
94,0.798238297,0.158141377,0.258677831,-0.42408257,0.025793395
95,-3.705420184,0.393894656,-0.34830814,0.114505623,0.013366963
96,1.870595153,-0.932495362,0.587613384,0.242469268,0.115575095
97,-2.654865531,-0.555827218,-0.658474661,-0.438871068,-0.059567716
98,-0.255617044,0.295243427,-0.159168742,-0.358735537,-0.076581953
99,-1.681095196,0.31746243,-0.154614859,-0.099663047,-0.0236477
100,-0.85095944,0.239905982,-0.296130104,0.006237476,0.004491709
